UserID,Mood,Engagement,EngagementDelta,Reflection,Domain,Skills,Experience,Availability,TrueSupport
User_0001,2.8,0.11,-0.28,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Research, Time Management, Writing, Presentation",Beginner,Flexible,Emotional
User_0002,3.4,0.1,-0.1,Today was hard. I felt very lonely and couldn't concentrate.,Data Science,"Presentation, Project Management, Time Management",Advanced,"Night, Afternoon, Flexible",Emotional
User_0003,4.2,0.55,-0.03,I know what I need to do but I just can't get myself started.,Biology,"Research, Programming, Problem Solving",Expert,Morning,Motivational
User_0004,9.3,0.85,0.17,Today was balanced. Making good progress overall.,Data Science,"Time Management, Data Analysis",Advanced,Weekends,None
User_0005,1.8,0.32,-0.21,I don't feel motivated at all and keep withdrawing from activities.,Computer Science,"Programming, Communication, Statistics",Expert,Morning,Emotional
User_0006,5.2,0.34,0.04,I want to improve but can't find the motivation to push forward.,Engineering,"Presentation, Project Management, Teamwork, Statistics",Intermediate,"Flexible, Afternoon, Weekends",Motivational
User_0007,4.5,0.58,0.03,"I feel neutral — not bad, just stuck and unmotivated.",Computer Science,"Teamwork, Python, Programming",Beginner,"Night, Evening",Motivational
User_0008,5.7,0.3,-0.13,I need a study partner who can explain things differently.,Physics,"Time Management, Project Management, Leadership, Writing, Communication",Advanced,Afternoon,Academic
User_0009,4.6,0.5,-0.14,I'm struggling to understand the core concepts in my coursework.,Psychology,"Statistics, Programming, Python, Time Management, Writing",Expert,"Afternoon, Night, Morning",Academic
User_0010,1.0,0.35,-0.12,I've been struggling with anxiety and can't focus on anything.,Data Science,"Programming, Project Management, Problem Solving, Statistics",Expert,"Night, Afternoon",Emotional
User_0011,2.8,0.27,-0.27,I don't feel motivated at all and keep withdrawing from activities.,Biology,"Writing, Problem Solving, Programming",Beginner,Weekends,Emotional
User_0012,6.0,0.59,-0.04,I keep procrastinating and need someone to hold me accountable.,Engineering,"Research, Machine Learning",Expert,Morning,Motivational
User_0013,5.6,0.29,-0.12,I need a study partner who can explain things differently.,Physics,"Communication, Critical Thinking, Machine Learning",Intermediate,"Afternoon, Weekends",Academic
User_0014,8.4,0.6,0.14,Things are going okay. Just checking in today.,Data Science,"Statistics, Research, Teamwork, Time Management, Problem Solving",Intermediate,Weekends,None
User_0015,4.3,0.32,-0.14,I don't understand how to approach the research methodology.,Mathematics,"Teamwork, Problem Solving",Intermediate,Weekends,Academic
User_0016,6.1,0.17,-0.12,I failed my last assignment and don't know where to improve.,Physics,"Research, Statistics, Teamwork, Project Management, Data Analysis",Expert,"Night, Flexible",Academic
User_0017,1.4,0.16,-0.18,Everything seems too much. I feel isolated and exhausted.,Literature,"Programming, Teamwork, Statistics, Research",Expert,Afternoon,Emotional
User_0018,7.6,0.79,0.17,Things are going okay. Just checking in today.,Data Science,"Python, Project Management",Intermediate,"Morning, Flexible, Afternoon",None
User_0019,4.0,0.25,-0.06,I'm struggling to understand the core concepts in my coursework.,Literature,"Data Analysis, Communication",Expert,"Evening, Night",Academic
User_0020,6.1,0.27,-0.14,I want to improve but can't find the motivation to push forward.,Computer Science,"Machine Learning, Leadership",Beginner,"Weekends, Afternoon, Morning",Motivational
User_0021,6.8,0.89,0.05,Pretty good day. Focused and productive.,Mathematics,"Machine Learning, Time Management, Python",Advanced,"Morning, Night, Evening",None
User_0022,5.0,0.2,-0.18,I failed my last assignment and don't know where to improve.,Biology,"Problem Solving, Programming, Statistics, Python, Leadership",Intermediate,"Weekends, Morning, Flexible",Academic
User_0023,5.5,0.34,-0.06,I failed my last assignment and don't know where to improve.,Business,"Writing, Leadership, Critical Thinking, Presentation",Beginner,"Weekends, Flexible",Academic
User_0024,5.3,0.4,-0.21,I can't grasp the mathematical concepts no matter how hard I try.,Biology,"Time Management, Statistics",Advanced,"Weekends, Afternoon, Evening",Academic
User_0025,7.3,0.65,0.2,Feeling alright. Working through my tasks steadily.,Biology,"Statistics, Project Management",Beginner,"Evening, Morning",None
User_0026,6.5,0.72,0.18,Things are going okay. Just checking in today.,Data Science,"Critical Thinking, Python, Statistics, Programming, Writing",Expert,"Morning, Evening, Afternoon",None
User_0027,6.2,0.59,0.01,I need a push to stay consistent with my goals.,Engineering,"Project Management, Statistics, Problem Solving",Intermediate,"Night, Weekends, Afternoon",Motivational
User_0028,2.1,0.11,-0.18,I feel hopeless about my progress and don't see a way forward.,Psychology,"Programming, Data Analysis, Time Management, Project Management",Beginner,"Afternoon, Evening, Flexible",Emotional
User_0029,7.6,0.71,0.01,Everything is fine. Learning and growing steadily.,Business,"Teamwork, Programming, Research, Time Management",Intermediate,Flexible,None
User_0030,5.5,0.59,-0.14,I need a push to stay consistent with my goals.,Data Science,"Project Management, Teamwork, Critical Thinking, Problem Solving, Python",Intermediate,Evening,Motivational
User_0031,5.8,0.25,0.04,I want to improve but can't find the motivation to push forward.,Business,"Machine Learning, Critical Thinking, Statistics, Data Analysis, Time Management",Beginner,Evening,Motivational
User_0032,5.7,0.36,-0.01,I keep procrastinating and need someone to hold me accountable.,Literature,"Project Management, Problem Solving",Advanced,"Evening, Morning, Flexible",Motivational
User_0033,4.4,0.22,-0.09,I need a study partner who can explain things differently.,Literature,"Project Management, Presentation, Writing, Machine Learning, Teamwork",Beginner,"Night, Weekends",Academic
User_0034,9.3,0.9,0.13,Today was balanced. Making good progress overall.,Physics,"Project Management, Research, Critical Thinking, Leadership, Writing",Beginner,"Morning, Evening, Weekends",None
User_0035,4.7,0.37,-0.21,I'm falling behind on deadlines and need academic guidance.,Psychology,"Python, Research",Expert,"Weekends, Morning",Academic
User_0036,6.9,0.92,0.14,Things are manageable. Looking forward to improving more.,Literature,"Writing, Project Management, Presentation",Expert,Morning,None
User_0037,3.9,0.41,-0.15,Today was hard. I felt very lonely and couldn't concentrate.,Data Science,"Time Management, Teamwork, Statistics",Advanced,"Afternoon, Night",Emotional
User_0038,7.1,0.63,0.06,Everything is fine. Learning and growing steadily.,Psychology,"Leadership, Communication, Programming, Research, Project Management",Intermediate,"Weekends, Night",None
User_0039,5.8,0.27,-0.07,I have the knowledge but struggle with execution and drive.,Business,"Writing, Time Management",Intermediate,Night,Motivational
User_0040,6.0,0.74,0.15,Pretty good day. Focused and productive.,Computer Science,"Teamwork, Data Analysis, Time Management",Expert,"Flexible, Morning, Night",None
User_0041,5.5,0.43,-0.11,I don't understand how to approach the research methodology.,Physics,"Communication, Data Analysis, Leadership",Advanced,Night,Academic
User_0042,3.9,0.31,-0.24,I'm falling behind on deadlines and need academic guidance.,Education,"Time Management, Data Analysis",Expert,"Weekends, Morning, Flexible",Academic
User_0043,4.0,0.44,0.05,"I feel neutral — not bad, just stuck and unmotivated.",Engineering,"Problem Solving, Time Management, Programming, Data Analysis, Communication",Expert,"Evening, Morning",Motivational
User_0044,5.4,0.23,-0.16,I failed my last assignment and don't know where to improve.,Mathematics,"Programming, Python",Beginner,Afternoon,Academic
User_0045,3.8,0.16,-0.19,I'm falling behind on deadlines and need academic guidance.,Physics,"Programming, Problem Solving, Writing, Machine Learning",Advanced,"Flexible, Morning, Afternoon",Academic
User_0046,9.2,0.83,0.01,Pretty good day. Focused and productive.,Engineering,"Machine Learning, Presentation",Beginner,"Afternoon, Morning, Evening",None
User_0047,5.6,0.54,-0.01,I need a push to stay consistent with my goals.,Mathematics,"Python, Teamwork, Data Analysis, Leadership",Advanced,Night,Motivational
User_0048,4.5,0.24,-0.06,I can't grasp the mathematical concepts no matter how hard I try.,Data Science,"Machine Learning, Programming, Critical Thinking, Leadership",Advanced,"Night, Weekends",Academic
User_0049,6.7,0.68,0.16,Doing well. Staying on track with my goals.,Engineering,"Machine Learning, Time Management, Project Management, Data Analysis, Problem Solving",Advanced,Night,None
User_0050,5.2,0.52,-0.01,I have the knowledge but struggle with execution and drive.,Education,"Critical Thinking, Python, Time Management, Research",Expert,Afternoon,Motivational
User_0051,8.7,0.75,0.11,Doing well. Staying on track with my goals.,Computer Science,"Communication, Research",Advanced,"Flexible, Afternoon",None
User_0052,8.9,0.73,0.15,Feeling alright. Working through my tasks steadily.,Data Science,"Problem Solving, Presentation, Leadership, Communication",Beginner,"Evening, Afternoon",None
User_0053,4.2,0.21,-0.25,I need help organizing my study plan and understanding the material.,Engineering,"Communication, Presentation, Machine Learning, Critical Thinking, Programming",Advanced,"Morning, Afternoon",Academic
User_0054,5.4,0.41,-0.06,I keep procrastinating and need someone to hold me accountable.,Computer Science,"Critical Thinking, Communication",Beginner,"Afternoon, Night, Morning",Motivational
User_0055,1.5,0.38,-0.06,Everything seems too much. I feel isolated and exhausted.,Biology,"Statistics, Teamwork, Time Management, Data Analysis, Leadership",Beginner,Weekends,Emotional
User_0056,6.1,0.5,-0.19,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Machine Learning, Time Management, Programming, Teamwork, Research",Advanced,"Night, Flexible, Weekends",Academic
User_0057,2.7,0.15,-0.2,I'm feeling burnt out and emotionally drained.,Engineering,"Communication, Project Management, Statistics",Intermediate,Afternoon,Emotional
User_0058,6.0,0.47,-0.02,I want to improve but can't find the motivation to push forward.,Computer Science,"Communication, Presentation, Time Management",Advanced,"Night, Morning, Afternoon",Motivational
User_0059,6.7,0.72,0.15,Everything is fine. Learning and growing steadily.,Mathematics,"Project Management, Writing, Communication",Beginner,Morning,None
User_0060,8.4,0.96,0.15,Everything is fine. Learning and growing steadily.,Mathematics,"Presentation, Communication, Time Management, Data Analysis, Teamwork",Beginner,"Weekends, Night, Flexible",None
User_0061,2.4,0.33,-0.07,I've been struggling with anxiety and can't focus on anything.,Mathematics,"Project Management, Teamwork, Machine Learning",Intermediate,"Morning, Evening, Flexible",Emotional
User_0062,9.4,0.73,0.14,Everything is fine. Learning and growing steadily.,Physics,"Leadership, Problem Solving",Beginner,"Evening, Flexible",None
User_0063,9.9,0.76,0.1,Things are going okay. Just checking in today.,Data Science,"Leadership, Statistics",Beginner,"Evening, Flexible",None
User_0064,9.0,0.68,0.11,Everything is fine. Learning and growing steadily.,Literature,"Research, Critical Thinking",Expert,"Weekends, Night",None
User_0065,8.2,0.64,0.2,Had a normal day. Nothing special to report.,Physics,"Python, Project Management",Beginner,"Afternoon, Flexible, Evening",None
User_0066,9.9,0.7,0.11,Pretty good day. Focused and productive.,Mathematics,"Leadership, Presentation, Communication",Expert,"Flexible, Evening, Night",None
User_0067,6.0,0.25,-0.19,I don't understand how to approach the research methodology.,Education,"Teamwork, Statistics, Communication",Advanced,"Evening, Weekends",Academic
User_0068,5.2,0.23,-0.09,I'm struggling to understand the core concepts in my coursework.,Physics,"Problem Solving, Time Management, Critical Thinking, Programming, Data Analysis",Intermediate,"Evening, Afternoon",Academic
User_0069,6.2,0.56,-0.06,I have the knowledge but struggle with execution and drive.,Physics,"Data Analysis, Project Management, Programming, Teamwork, Writing",Advanced,"Morning, Afternoon",Motivational
User_0070,2.9,0.4,-0.09,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Teamwork, Project Management, Writing, Statistics, Leadership",Expert,"Evening, Weekends",Emotional
User_0071,6.5,0.51,-0.06,I lack the energy to begin my tasks even though I understand them.,Physics,"Machine Learning, Statistics",Advanced,Flexible,Motivational
User_0072,1.9,0.23,-0.26,Today was hard. I felt very lonely and couldn't concentrate.,Physics,"Presentation, Communication, Python",Beginner,Evening,Emotional
User_0073,4.2,0.37,-0.16,I'm struggling to understand the core concepts in my coursework.,Psychology,"Statistics, Machine Learning, Data Analysis",Intermediate,"Flexible, Afternoon, Night",Academic
User_0074,9.4,0.68,0.08,Things are manageable. Looking forward to improving more.,Biology,"Statistics, Leadership, Problem Solving",Expert,"Evening, Night, Flexible",None
User_0075,1.8,0.3,-0.13,I feel really overwhelmed lately and don't know how to cope.,Engineering,"Machine Learning, Problem Solving, Time Management, Communication, Presentation",Expert,Flexible,Emotional
User_0076,8.5,0.87,0.14,Feeling alright. Working through my tasks steadily.,Biology,"Machine Learning, Programming, Problem Solving",Intermediate,Flexible,None
User_0077,3.7,0.21,-0.2,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Programming, Leadership, Python, Machine Learning",Beginner,"Flexible, Afternoon",Emotional
User_0078,5.9,0.31,-0.23,My grades have been dropping and I feel academically behind.,Data Science,"Critical Thinking, Time Management, Communication, Writing",Advanced,"Night, Evening",Academic
User_0079,7.5,0.9,0.05,Pretty good day. Focused and productive.,Data Science,"Statistics, Programming, Data Analysis, Python",Expert,"Weekends, Morning",None
User_0080,5.6,0.41,-0.01,I need a push to stay consistent with my goals.,Mathematics,"Leadership, Python, Machine Learning",Beginner,"Evening, Weekends, Afternoon",Motivational
User_0081,3.7,0.15,-0.19,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Python, Communication",Intermediate,"Morning, Flexible",Emotional
User_0082,4.2,0.31,-0.2,I need a study partner who can explain things differently.,Literature,"Teamwork, Leadership",Advanced,"Night, Evening, Morning",Academic
User_0083,3.0,0.32,-0.15,I feel really overwhelmed lately and don't know how to cope.,Business,"Python, Data Analysis, Communication, Research",Beginner,Night,Emotional
User_0084,2.8,0.38,-0.24,I've been struggling with anxiety and can't focus on anything.,Business,"Writing, Programming, Machine Learning",Intermediate,Morning,Emotional
User_0085,1.4,0.23,-0.1,I don't feel motivated at all and keep withdrawing from activities.,Biology,"Writing, Critical Thinking, Communication",Beginner,Morning,Emotional
User_0086,3.3,0.28,-0.27,I feel hopeless about my progress and don't see a way forward.,Psychology,"Python, Writing, Presentation, Data Analysis",Expert,"Morning, Flexible, Night",Emotional
User_0087,2.5,0.42,-0.28,Everything seems too much. I feel isolated and exhausted.,Data Science,"Leadership, Project Management, Python, Programming",Beginner,"Night, Flexible",Emotional
User_0088,6.5,0.44,-0.06,I need a push to stay consistent with my goals.,Education,"Statistics, Writing, Communication",Expert,"Flexible, Weekends, Evening",Motivational
User_0089,2.2,0.13,-0.19,I'm really stressed and feeling disconnected from everyone.,Mathematics,"Data Analysis, Leadership, Research",Expert,"Evening, Night",Emotional
User_0090,6.0,0.44,-0.03,"I feel neutral — not bad, just stuck and unmotivated.",Psychology,"Statistics, Time Management, Teamwork, Programming, Data Analysis",Advanced,Flexible,Motivational
User_0091,1.3,0.28,-0.26,I'm feeling burnt out and emotionally drained.,Literature,"Teamwork, Project Management, Programming, Data Analysis",Advanced,"Morning, Evening, Weekends",Emotional
User_0092,6.0,0.49,-0.09,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Teamwork, Critical Thinking, Problem Solving, Statistics",Expert,"Weekends, Afternoon",Academic
User_0093,4.5,0.3,-0.02,I lack the energy to begin my tasks even though I understand them.,Computer Science,"Communication, Presentation, Programming",Beginner,"Evening, Flexible",Motivational
User_0094,4.9,0.21,-0.19,I need a study partner who can explain things differently.,Computer Science,"Presentation, Critical Thinking",Expert,Night,Academic
User_0095,1.8,0.33,-0.18,I'm feeling burnt out and emotionally drained.,Computer Science,"Writing, Programming, Machine Learning",Beginner,Flexible,Emotional
User_0096,8.7,0.84,0.11,Everything is fine. Learning and growing steadily.,Biology,"Programming, Critical Thinking, Statistics",Advanced,"Night, Morning",None
User_0097,1.9,0.14,-0.18,Today was hard. I felt very lonely and couldn't concentrate.,Engineering,"Machine Learning, Python, Teamwork, Research, Communication",Advanced,Afternoon,Emotional
User_0098,4.8,0.31,-0.23,I need a study partner who can explain things differently.,Psychology,"Critical Thinking, Presentation, Research, Time Management, Teamwork",Beginner,"Evening, Morning, Night",Academic
User_0099,9.2,0.85,0.17,Doing well. Staying on track with my goals.,Education,"Presentation, Project Management, Data Analysis, Communication, Statistics",Intermediate,"Morning, Evening",None
User_0100,3.6,0.36,-0.24,I've been struggling with anxiety and can't focus on anything.,Literature,"Research, Data Analysis",Expert,"Night, Weekends, Morning",Emotional
User_0101,3.2,0.39,-0.1,I feel hopeless about my progress and don't see a way forward.,Data Science,"Critical Thinking, Time Management",Advanced,Evening,Emotional
User_0102,3.3,0.37,-0.19,I don't feel motivated at all and keep withdrawing from activities.,Psychology,"Research, Writing, Machine Learning, Teamwork",Expert,"Morning, Afternoon, Night",Emotional
User_0103,5.3,0.36,-0.06,I know what I need to do but I just can't get myself started.,Psychology,"Statistics, Leadership, Teamwork, Project Management, Communication",Advanced,"Weekends, Morning",Motivational
User_0104,5.2,0.44,0.01,I know what I need to do but I just can't get myself started.,Biology,"Project Management, Teamwork",Expert,Weekends,Motivational
User_0105,9.2,0.93,0.2,Had a normal day. Nothing special to report.,Education,"Problem Solving, Machine Learning, Leadership",Beginner,"Afternoon, Morning, Night",None
User_0106,4.6,0.25,-0.17,I need a study partner who can explain things differently.,Computer Science,"Presentation, Leadership, Teamwork",Advanced,"Weekends, Flexible, Afternoon",Academic
User_0107,3.2,0.33,-0.07,I've been struggling with anxiety and can't focus on anything.,Business,"Problem Solving, Statistics",Advanced,"Flexible, Night, Evening",Emotional
User_0108,4.8,0.38,0.01,I keep procrastinating and need someone to hold me accountable.,Mathematics,"Time Management, Problem Solving, Communication",Beginner,"Flexible, Night, Afternoon",Motivational
User_0109,1.6,0.45,-0.26,I'm really stressed and feeling disconnected from everyone.,Literature,"Python, Problem Solving, Communication, Writing",Expert,Evening,Emotional
User_0110,1.5,0.39,-0.11,I've been struggling with anxiety and can't focus on anything.,Data Science,"Project Management, Problem Solving",Intermediate,"Afternoon, Weekends, Night",Emotional
User_0111,7.2,0.92,0.09,Today was balanced. Making good progress overall.,Computer Science,"Problem Solving, Project Management, Presentation, Research, Leadership",Intermediate,"Evening, Night, Afternoon",None
User_0112,6.2,0.27,-0.05,"I feel neutral — not bad, just stuck and unmotivated.",Education,"Leadership, Programming, Communication, Data Analysis, Critical Thinking",Intermediate,"Night, Afternoon, Weekends",Motivational
User_0113,3.7,0.15,-0.19,I feel hopeless about my progress and don't see a way forward.,Data Science,"Communication, Statistics",Expert,Evening,Emotional
User_0114,7.5,0.63,0.04,Doing well. Staying on track with my goals.,Business,"Data Analysis, Python",Intermediate,"Weekends, Evening",None
User_0115,2.3,0.1,-0.28,I'm really stressed and feeling disconnected from everyone.,Business,"Writing, Python, Communication",Expert,"Flexible, Afternoon",Emotional
User_0116,4.8,0.43,-0.16,I failed my last assignment and don't know where to improve.,Psychology,"Statistics, Programming, Communication, Research, Teamwork",Intermediate,Morning,Academic
User_0117,6.0,0.74,0.11,Feeling alright. Working through my tasks steadily.,Education,"Project Management, Critical Thinking",Expert,"Afternoon, Flexible, Evening",None
User_0118,1.1,0.24,-0.21,I feel really overwhelmed lately and don't know how to cope.,Data Science,"Statistics, Critical Thinking, Teamwork, Programming",Expert,"Weekends, Morning, Night",Emotional
User_0119,4.3,0.37,-0.08,I keep procrastinating and need someone to hold me accountable.,Mathematics,"Research, Presentation, Project Management, Programming",Advanced,Weekends,Motivational
User_0120,6.2,0.68,0.01,Everything is fine. Learning and growing steadily.,Physics,"Programming, Writing, Statistics",Intermediate,"Night, Morning, Evening",None
User_0121,7.1,0.92,0.09,Pretty good day. Focused and productive.,Data Science,"Communication, Python, Programming, Project Management, Research",Advanced,"Evening, Morning",None
User_0122,8.9,0.63,0.12,Feeling alright. Working through my tasks steadily.,Literature,"Writing, Leadership, Presentation, Teamwork",Beginner,"Weekends, Evening",None
User_0123,4.4,0.41,-0.06,"I feel neutral — not bad, just stuck and unmotivated.",Business,"Statistics, Problem Solving",Expert,"Evening, Flexible, Night",Motivational
User_0124,6.6,0.84,0.16,Things are going okay. Just checking in today.,Biology,"Statistics, Project Management",Beginner,"Night, Evening, Afternoon",None
User_0125,5.3,0.39,-0.06,I need a study partner who can explain things differently.,Mathematics,"Programming, Project Management, Problem Solving",Beginner,"Night, Weekends",Academic
User_0126,9.8,0.61,0.04,Pretty good day. Focused and productive.,Mathematics,"Critical Thinking, Problem Solving, Data Analysis",Intermediate,"Flexible, Evening",None
User_0127,1.4,0.4,-0.19,I'm feeling burnt out and emotionally drained.,Biology,"Presentation, Leadership, Research, Machine Learning",Intermediate,"Flexible, Night",Emotional
User_0128,3.4,0.28,-0.27,I feel hopeless about my progress and don't see a way forward.,Business,"Presentation, Statistics, Critical Thinking, Programming",Intermediate,"Evening, Afternoon",Emotional
User_0129,3.7,0.29,-0.11,I don't understand how to approach the research methodology.,Engineering,"Python, Problem Solving, Critical Thinking, Machine Learning, Teamwork",Beginner,"Weekends, Afternoon",Academic
User_0130,6.5,0.93,0.11,Feeling alright. Working through my tasks steadily.,Literature,"Writing, Problem Solving",Advanced,"Morning, Night, Weekends",None
User_0131,4.5,0.4,-0.18,I can't grasp the mathematical concepts no matter how hard I try.,Literature,"Teamwork, Statistics",Intermediate,"Afternoon, Evening, Flexible",Academic
User_0132,2.8,0.13,-0.14,I've been struggling with anxiety and can't focus on anything.,Biology,"Project Management, Critical Thinking, Communication",Advanced,Flexible,Emotional
User_0133,5.5,0.42,-0.17,I'm struggling to understand the core concepts in my coursework.,Education,"Teamwork, Machine Learning, Python, Programming",Advanced,Morning,Academic
User_0134,8.8,0.66,0.08,Things are manageable. Looking forward to improving more.,Data Science,"Project Management, Communication, Leadership, Research",Beginner,"Night, Evening, Flexible",None
User_0135,3.9,0.28,-0.14,I need a study partner who can explain things differently.,Business,"Problem Solving, Teamwork, Presentation",Expert,"Flexible, Evening",Academic
User_0136,3.7,0.48,-0.08,I'm falling behind on deadlines and need academic guidance.,Physics,"Communication, Leadership",Beginner,Afternoon,Academic
User_0137,6.5,0.31,-0.07,I don't understand how to approach the research methodology.,Psychology,"Time Management, Machine Learning, Presentation, Problem Solving",Expert,Afternoon,Academic
User_0138,2.5,0.41,-0.14,I'm feeling burnt out and emotionally drained.,Mathematics,"Critical Thinking, Leadership, Research, Programming, Machine Learning",Advanced,"Morning, Flexible",Emotional
User_0139,5.9,0.38,-0.07,I want to improve but can't find the motivation to push forward.,Data Science,"Teamwork, Statistics",Advanced,"Afternoon, Evening",Motivational
User_0140,6.4,0.39,0.01,"I feel neutral — not bad, just stuck and unmotivated.",Data Science,"Statistics, Data Analysis, Critical Thinking, Leadership",Intermediate,"Evening, Weekends, Morning",Motivational
User_0141,5.8,0.53,-0.05,I keep procrastinating and need someone to hold me accountable.,Psychology,"Machine Learning, Critical Thinking, Data Analysis",Intermediate,"Morning, Flexible, Weekends",Motivational
User_0142,5.6,0.25,-0.09,I need a study partner who can explain things differently.,Business,"Writing, Data Analysis, Machine Learning, Presentation",Expert,"Weekends, Evening",Academic
User_0143,4.7,0.48,0.04,I want to improve but can't find the motivation to push forward.,Mathematics,"Machine Learning, Communication, Programming, Presentation, Project Management",Expert,Weekends,Motivational
User_0144,2.7,0.35,-0.25,I'm feeling burnt out and emotionally drained.,Education,"Writing, Critical Thinking, Project Management, Presentation, Machine Learning",Beginner,"Afternoon, Flexible",Emotional
User_0145,6.2,0.51,-0.14,I keep procrastinating and need someone to hold me accountable.,Literature,"Data Analysis, Presentation, Research",Expert,"Weekends, Flexible",Motivational
User_0146,5.1,0.39,-0.08,I can't grasp the mathematical concepts no matter how hard I try.,Data Science,"Project Management, Leadership, Critical Thinking, Data Analysis",Advanced,"Afternoon, Night",Academic
User_0147,8.8,0.88,0.1,Things are manageable. Looking forward to improving more.,Engineering,"Communication, Critical Thinking, Time Management",Advanced,Evening,None
User_0148,4.7,0.35,-0.01,"I feel neutral — not bad, just stuck and unmotivated.",Data Science,"Communication, Statistics, Machine Learning, Project Management",Intermediate,"Night, Flexible, Evening",Motivational
User_0149,7.0,0.87,0.11,Today was balanced. Making good progress overall.,Biology,"Research, Time Management, Critical Thinking, Communication, Programming",Intermediate,"Evening, Afternoon, Morning",None
User_0150,2.2,0.43,-0.08,I'm feeling burnt out and emotionally drained.,Mathematics,"Problem Solving, Presentation, Leadership, Statistics, Project Management",Intermediate,Morning,Emotional
User_0151,4.8,0.44,-0.06,I'm struggling to understand the core concepts in my coursework.,Biology,"Communication, Project Management, Python, Statistics",Intermediate,"Weekends, Afternoon, Morning",Academic
User_0152,8.3,0.64,0.2,Everything is fine. Learning and growing steadily.,Physics,"Time Management, Presentation, Communication",Advanced,Morning,None
User_0153,6.6,0.78,0.05,Feeling alright. Working through my tasks steadily.,Data Science,"Time Management, Writing, Critical Thinking, Leadership, Communication",Advanced,Morning,None
User_0154,3.5,0.28,-0.28,Everything seems too much. I feel isolated and exhausted.,Business,"Machine Learning, Project Management, Programming, Research",Expert,Weekends,Emotional
User_0155,6.4,0.26,-0.11,I'm struggling to understand the core concepts in my coursework.,Psychology,"Problem Solving, Research, Python, Communication, Data Analysis",Advanced,Night,Academic
User_0156,5.7,0.57,0.03,I need someone to inspire me and keep me on track.,Business,"Python, Project Management, Statistics",Expert,"Evening, Afternoon",Motivational
User_0157,2.2,0.29,-0.18,I feel hopeless about my progress and don't see a way forward.,Biology,"Machine Learning, Research, Teamwork, Writing",Advanced,"Afternoon, Night",Emotional
User_0158,3.7,0.34,-0.15,I need help organizing my study plan and understanding the material.,Education,"Critical Thinking, Leadership",Beginner,"Flexible, Evening, Morning",Academic
User_0159,5.9,0.31,-0.15,I don't understand how to approach the research methodology.,Business,"Statistics, Project Management, Research, Presentation, Machine Learning",Expert,"Morning, Weekends",Academic
User_0160,2.7,0.12,-0.21,Everything seems too much. I feel isolated and exhausted.,Data Science,"Project Management, Programming, Communication, Presentation, Python",Intermediate,"Evening, Morning",Emotional
User_0161,2.3,0.42,-0.21,Everything seems too much. I feel isolated and exhausted.,Mathematics,"Python, Communication, Data Analysis, Writing, Presentation",Expert,"Flexible, Night, Evening",Emotional
User_0162,6.0,0.41,-0.05,I don't understand how to approach the research methodology.,Business,"Writing, Critical Thinking",Intermediate,"Weekends, Afternoon",Academic
User_0163,9.7,0.89,0.02,Pretty good day. Focused and productive.,Data Science,"Teamwork, Research, Time Management, Leadership, Problem Solving",Intermediate,Evening,None
User_0164,1.7,0.12,-0.19,I feel hopeless about my progress and don't see a way forward.,Engineering,"Statistics, Time Management, Machine Learning",Beginner,Night,Emotional
User_0165,1.7,0.41,-0.05,I feel hopeless about my progress and don't see a way forward.,Psychology,"Research, Teamwork, Presentation, Machine Learning",Advanced,"Weekends, Flexible",Emotional
