UserID,Mood,Engagement,EngagementDelta,Reflection,Domain,Skills,Experience,Availability,TrueSupport
User_0166,8.2,0.62,0.07,Pretty good day. Focused and productive.,Biology,"Python, Critical Thinking, Machine Learning, Presentation",Expert,Flexible,None
User_0167,6.1,0.3,-0.06,I know what I need to do but I just can't get myself started.,Literature,"Writing, Communication, Data Analysis, Time Management, Critical Thinking",Advanced,"Afternoon, Flexible",Motivational
User_0168,9.7,0.94,0.02,Today was balanced. Making good progress overall.,Literature,"Data Analysis, Research, Communication",Beginner,Evening,None
User_0169,2.4,0.4,-0.22,I feel really overwhelmed lately and don't know how to cope.,Biology,"Project Management, Machine Learning, Teamwork, Python, Statistics",Intermediate,Weekends,Emotional
User_0170,4.7,0.23,-0.19,I can't grasp the mathematical concepts no matter how hard I try.,Engineering,"Presentation, Programming",Intermediate,"Afternoon, Weekends",Academic
User_0171,9.0,0.73,0.04,Doing well. Staying on track with my goals.,Physics,"Communication, Time Management, Problem Solving, Critical Thinking",Expert,"Night, Morning",None
User_0172,7.2,0.68,0.05,Today was balanced. Making good progress overall.,Computer Science,"Presentation, Writing, Python",Expert,"Weekends, Flexible",None
User_0173,8.9,0.74,0.03,Things are manageable. Looking forward to improving more.,Data Science,"Communication, Programming, Leadership, Presentation",Intermediate,"Flexible, Night, Weekends",None
User_0174,5.8,0.29,-0.08,My grades have been dropping and I feel academically behind.,Data Science,"Critical Thinking, Python",Beginner,Flexible,Academic
User_0175,3.0,0.11,-0.17,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Research, Critical Thinking",Expert,"Evening, Morning",Emotional
User_0176,3.8,0.28,-0.24,I'm really stressed and feeling disconnected from everyone.,Computer Science,"Critical Thinking, Communication, Python, Time Management",Beginner,"Flexible, Night, Afternoon",Emotional
User_0177,4.7,0.54,-0.13,I know what I need to do but I just can't get myself started.,Biology,"Statistics, Problem Solving, Data Analysis, Leadership, Machine Learning",Intermediate,Flexible,Motivational
User_0178,1.2,0.4,-0.14,I don't feel motivated at all and keep withdrawing from activities.,Literature,"Data Analysis, Critical Thinking, Leadership, Python, Project Management",Intermediate,Flexible,Emotional
User_0179,3.8,0.34,-0.23,I feel really overwhelmed lately and don't know how to cope.,Data Science,"Research, Time Management",Beginner,"Weekends, Night, Evening",Emotional
User_0180,6.3,0.25,-0.14,I'm falling behind on deadlines and need academic guidance.,Business,"Research, Machine Learning",Expert,Flexible,Academic
User_0181,4.1,0.4,0.02,"I feel neutral — not bad, just stuck and unmotivated.",Literature,"Programming, Presentation, Teamwork",Advanced,Weekends,Motivational
User_0182,8.2,0.75,0.04,Pretty good day. Focused and productive.,Business,"Project Management, Communication",Advanced,"Night, Afternoon",None
User_0183,2.1,0.37,-0.26,Today was hard. I felt very lonely and couldn't concentrate.,Education,"Programming, Research, Presentation, Statistics",Intermediate,Evening,Emotional
User_0184,4.3,0.28,-0.06,I need a push to stay consistent with my goals.,Business,"Statistics, Python",Advanced,"Night, Evening",Motivational
User_0185,3.6,0.1,-0.2,Everything seems too much. I feel isolated and exhausted.,Computer Science,"Problem Solving, Critical Thinking",Advanced,Weekends,Emotional
User_0186,4.3,0.2,-0.22,I can't grasp the mathematical concepts no matter how hard I try.,Education,"Project Management, Data Analysis, Writing",Advanced,Evening,Academic
User_0187,6.4,0.72,0.19,Doing well. Staying on track with my goals.,Biology,"Programming, Statistics, Problem Solving, Communication, Research",Expert,"Flexible, Night, Afternoon",None
User_0188,7.9,0.67,0.08,Doing well. Staying on track with my goals.,Business,"Problem Solving, Data Analysis, Project Management, Machine Learning, Writing",Intermediate,"Evening, Weekends",None
User_0189,5.5,0.44,-0.01,I know what I need to do but I just can't get myself started.,Physics,"Problem Solving, Data Analysis, Communication",Intermediate,"Evening, Morning",Motivational
User_0190,7.0,0.66,0.08,Pretty good day. Focused and productive.,Engineering,"Programming, Communication, Presentation, Statistics, Data Analysis",Intermediate,"Night, Afternoon, Evening",None
User_0191,3.3,0.33,-0.21,I feel really overwhelmed lately and don't know how to cope.,Physics,"Machine Learning, Data Analysis, Critical Thinking, Programming, Teamwork",Beginner,"Morning, Evening, Flexible",Emotional
User_0192,7.5,0.79,0.14,Feeling alright. Working through my tasks steadily.,Business,"Statistics, Python, Time Management, Communication, Research",Expert,"Flexible, Weekends, Afternoon",None
User_0193,5.1,0.32,-0.05,I have the knowledge but struggle with execution and drive.,Computer Science,"Statistics, Communication, Data Analysis, Time Management, Presentation",Advanced,"Afternoon, Evening, Weekends",Motivational
User_0194,3.0,0.16,-0.05,I feel hopeless about my progress and don't see a way forward.,Physics,"Problem Solving, Statistics, Communication, Python, Teamwork",Beginner,Evening,Emotional
User_0195,4.1,0.38,-0.17,My grades have been dropping and I feel academically behind.,Data Science,"Problem Solving, Critical Thinking, Data Analysis",Intermediate,"Afternoon, Night",Academic
User_0196,9.2,0.81,0.07,Today was balanced. Making good progress overall.,Education,"Data Analysis, Python, Presentation, Research, Programming",Beginner,"Flexible, Morning",None
User_0197,8.3,0.74,0.17,Feeling alright. Working through my tasks steadily.,Mathematics,"Project Management, Teamwork, Leadership, Critical Thinking",Expert,"Evening, Weekends, Night",None
User_0198,4.3,0.38,-0.12,I need a push to stay consistent with my goals.,Education,"Project Management, Writing",Advanced,"Morning, Afternoon",Motivational
User_0199,8.2,0.8,0.03,Doing well. Staying on track with my goals.,Education,"Machine Learning, Data Analysis, Teamwork",Intermediate,Night,None
User_0200,6.8,0.75,0.11,Things are manageable. Looking forward to improving more.,Education,"Teamwork, Problem Solving",Intermediate,Night,None
User_0201,9.2,0.69,0.01,Today was balanced. Making good progress overall.,Physics,"Presentation, Teamwork, Leadership, Programming, Writing",Beginner,Weekends,None
User_0202,5.9,0.54,-0.08,I know what I need to do but I just can't get myself started.,Psychology,"Machine Learning, Presentation, Programming, Leadership, Critical Thinking",Advanced,"Morning, Weekends, Flexible",Motivational
User_0203,7.1,0.94,0.02,Had a normal day. Nothing special to report.,Data Science,"Data Analysis, Statistics, Presentation",Expert,"Afternoon, Evening, Morning",None
User_0204,5.9,0.43,-0.09,I need a study partner who can explain things differently.,Engineering,"Teamwork, Presentation, Machine Learning, Project Management",Intermediate,"Afternoon, Weekends",Academic
User_0205,4.3,0.51,-0.07,I know what I need to do but I just can't get myself started.,Education,"Problem Solving, Presentation, Communication",Beginner,"Weekends, Evening",Motivational
User_0206,4.4,0.47,-0.02,I need a push to stay consistent with my goals.,Psychology,"Research, Writing, Presentation",Expert,"Afternoon, Night",Motivational
User_0207,7.3,0.6,0.15,Had a normal day. Nothing special to report.,Mathematics,"Data Analysis, Critical Thinking",Expert,"Evening, Flexible, Night",None
User_0208,8.0,0.73,0.06,Feeling alright. Working through my tasks steadily.,Business,"Programming, Critical Thinking",Intermediate,"Afternoon, Night",None
User_0209,7.8,0.6,0.19,Today was balanced. Making good progress overall.,Business,"Python, Statistics",Intermediate,"Night, Morning, Weekends",None
User_0210,5.5,0.38,-0.24,I can't grasp the mathematical concepts no matter how hard I try.,Biology,"Teamwork, Communication, Statistics",Advanced,"Evening, Flexible, Morning",Academic
User_0211,3.7,0.36,-0.15,I don't understand how to approach the research methodology.,Literature,"Presentation, Statistics",Expert,Afternoon,Academic
User_0212,1.7,0.13,-0.1,Everything seems too much. I feel isolated and exhausted.,Computer Science,"Teamwork, Statistics, Data Analysis, Presentation",Beginner,Night,Emotional
User_0213,5.5,0.31,-0.08,I want to improve but can't find the motivation to push forward.,Business,"Writing, Data Analysis, Programming, Time Management",Beginner,"Flexible, Afternoon, Morning",Motivational
User_0214,4.6,0.3,-0.09,My grades have been dropping and I feel academically behind.,Literature,"Teamwork, Research, Statistics, Programming, Writing",Expert,Weekends,Academic
User_0215,4.5,0.46,-0.11,I need a push to stay consistent with my goals.,Mathematics,"Critical Thinking, Machine Learning, Teamwork",Advanced,"Weekends, Evening, Morning",Motivational
User_0216,5.3,0.59,0.05,"I feel neutral — not bad, just stuck and unmotivated.",Computer Science,"Leadership, Data Analysis, Statistics",Beginner,Night,Motivational
User_0217,3.5,0.23,-0.07,I'm falling behind on deadlines and need academic guidance.,Literature,"Problem Solving, Critical Thinking, Project Management, Writing, Leadership",Beginner,Morning,Academic
User_0218,4.2,0.28,0.03,I keep procrastinating and need someone to hold me accountable.,Data Science,"Data Analysis, Presentation, Time Management, Statistics, Project Management",Advanced,"Weekends, Flexible, Afternoon",Motivational
User_0219,4.6,0.57,-0.13,I know what I need to do but I just can't get myself started.,Literature,"Communication, Presentation",Beginner,"Flexible, Afternoon",Motivational
User_0220,4.4,0.58,-0.05,I need someone to inspire me and keep me on track.,Psychology,"Python, Presentation",Beginner,Flexible,Motivational
User_0221,4.3,0.17,-0.11,I failed my last assignment and don't know where to improve.,Business,"Presentation, Programming, Communication",Expert,"Morning, Flexible, Evening",Academic
User_0222,9.6,0.87,0.02,Things are going okay. Just checking in today.,Physics,"Python, Leadership, Machine Learning, Writing",Beginner,"Afternoon, Evening",None
User_0223,2.7,0.42,-0.11,Today was hard. I felt very lonely and couldn't concentrate.,Computer Science,"Python, Leadership, Problem Solving",Beginner,"Afternoon, Flexible",Emotional
User_0224,3.9,0.39,-0.24,My grades have been dropping and I feel academically behind.,Business,"Data Analysis, Presentation, Problem Solving",Advanced,"Morning, Weekends",Academic
User_0225,2.7,0.1,-0.25,I'm really stressed and feeling disconnected from everyone.,Literature,"Time Management, Leadership",Beginner,"Evening, Flexible",Emotional
User_0226,6.3,0.16,-0.14,I'm struggling to understand the core concepts in my coursework.,Physics,"Machine Learning, Leadership, Programming, Research",Beginner,"Weekends, Afternoon, Flexible",Academic
User_0227,5.0,0.59,0.04,I keep procrastinating and need someone to hold me accountable.,Computer Science,"Teamwork, Presentation, Time Management, Communication, Statistics",Intermediate,Weekends,Motivational
User_0228,5.5,0.43,-0.02,I need a push to stay consistent with my goals.,Mathematics,"Time Management, Research",Beginner,"Night, Evening, Flexible",Motivational
User_0229,1.8,0.21,-0.1,I don't feel motivated at all and keep withdrawing from activities.,Education,"Data Analysis, Project Management",Advanced,Afternoon,Emotional
User_0230,5.1,0.36,-0.13,"I feel neutral — not bad, just stuck and unmotivated.",Physics,"Research, Statistics, Time Management, Writing",Intermediate,"Morning, Afternoon, Flexible",Motivational
User_0231,6.0,0.39,-0.24,I need a study partner who can explain things differently.,Physics,"Leadership, Communication, Statistics, Programming",Advanced,Flexible,Academic
User_0232,4.3,0.5,-0.24,I'm falling behind on deadlines and need academic guidance.,Mathematics,"Problem Solving, Data Analysis, Critical Thinking",Advanced,Flexible,Academic
User_0233,6.2,0.91,0.04,Today was balanced. Making good progress overall.,Data Science,"Statistics, Leadership, Time Management",Beginner,Morning,None
User_0234,6.8,0.86,0.16,Had a normal day. Nothing special to report.,Business,"Machine Learning, Time Management",Beginner,"Morning, Flexible",None
User_0235,6.1,0.39,-0.14,I need a push to stay consistent with my goals.,Mathematics,"Leadership, Python",Expert,Weekends,Motivational
User_0236,5.3,0.37,-0.12,I don't understand how to approach the research methodology.,Business,"Time Management, Writing, Communication",Beginner,"Night, Afternoon",Academic
User_0237,8.5,0.92,0.16,Pretty good day. Focused and productive.,Data Science,"Python, Statistics, Communication, Data Analysis, Writing",Intermediate,"Afternoon, Weekends",None
User_0238,5.5,0.26,0.01,I need someone to inspire me and keep me on track.,Physics,"Problem Solving, Machine Learning, Critical Thinking, Time Management, Data Analysis",Advanced,"Afternoon, Morning",Motivational
User_0239,1.8,0.39,-0.07,I feel really overwhelmed lately and don't know how to cope.,Physics,"Programming, Machine Learning, Research, Writing",Intermediate,Afternoon,Emotional
User_0240,6.3,0.35,-0.14,My grades have been dropping and I feel academically behind.,Education,"Problem Solving, Teamwork, Writing, Programming, Research",Advanced,"Evening, Flexible, Morning",Academic
User_0241,6.1,0.79,0.07,Today was balanced. Making good progress overall.,Data Science,"Writing, Leadership, Python, Statistics",Intermediate,Afternoon,None
User_0242,5.3,0.47,-0.1,I need a study partner who can explain things differently.,Business,"Time Management, Programming, Problem Solving",Intermediate,Morning,Academic
User_0243,3.4,0.44,-0.14,I've been struggling with anxiety and can't focus on anything.,Business,"Machine Learning, Statistics, Problem Solving, Communication, Programming",Expert,Afternoon,Emotional
User_0244,6.4,0.58,-0.07,I know what I need to do but I just can't get myself started.,Engineering,"Data Analysis, Communication, Presentation",Beginner,"Evening, Afternoon, Weekends",Motivational
User_0245,4.5,0.18,-0.18,I need a study partner who can explain things differently.,Education,"Time Management, Programming, Machine Learning, Research",Intermediate,"Weekends, Morning, Night",Academic
User_0246,4.6,0.43,-0.11,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Leadership, Python, Communication, Research",Beginner,Flexible,Academic
User_0247,6.7,0.63,0.17,Everything is fine. Learning and growing steadily.,Physics,"Writing, Data Analysis, Leadership, Teamwork, Problem Solving",Intermediate,"Night, Morning, Flexible",None
User_0248,2.0,0.44,-0.08,I feel really overwhelmed lately and don't know how to cope.,Business,"Statistics, Time Management, Problem Solving, Writing",Beginner,"Afternoon, Morning",Emotional
User_0249,8.6,0.72,0.02,Pretty good day. Focused and productive.,Psychology,"Writing, Python, Statistics, Problem Solving, Research",Advanced,Night,None
User_0250,6.8,0.61,0.03,Everything is fine. Learning and growing steadily.,Psychology,"Problem Solving, Python",Expert,"Morning, Evening",None
User_0251,1.3,0.29,-0.25,Today was hard. I felt very lonely and couldn't concentrate.,Physics,"Communication, Programming",Advanced,"Night, Flexible",Emotional
User_0252,4.4,0.49,-0.13,"I feel neutral — not bad, just stuck and unmotivated.",Psychology,"Python, Communication, Leadership, Programming, Teamwork",Beginner,Evening,Motivational
User_0253,7.9,0.63,0.18,Things are going okay. Just checking in today.,Education,"Critical Thinking, Python, Data Analysis",Intermediate,"Night, Weekends, Flexible",None
User_0254,6.5,0.3,-0.05,I need help organizing my study plan and understanding the material.,Mathematics,"Writing, Time Management, Research, Programming, Teamwork",Beginner,Night,Academic
User_0255,5.3,0.57,-0.15,I need a push to stay consistent with my goals.,Business,"Statistics, Data Analysis",Advanced,"Night, Weekends, Evening",Motivational
User_0256,3.6,0.41,-0.08,I'm really stressed and feeling disconnected from everyone.,Literature,"Writing, Machine Learning, Teamwork",Advanced,"Morning, Flexible, Weekends",Emotional
User_0257,9.6,0.73,0.05,Things are manageable. Looking forward to improving more.,Physics,"Python, Writing, Communication, Data Analysis, Teamwork",Expert,"Weekends, Night, Morning",None
User_0258,6.1,0.49,0.04,I want to improve but can't find the motivation to push forward.,Business,"Problem Solving, Teamwork",Expert,"Evening, Flexible",Motivational
User_0259,4.1,0.44,-0.1,I need a study partner who can explain things differently.,Biology,"Programming, Teamwork, Problem Solving, Communication, Data Analysis",Expert,"Flexible, Morning, Afternoon",Academic
User_0260,1.6,0.39,-0.09,I feel hopeless about my progress and don't see a way forward.,Data Science,"Statistics, Communication, Presentation",Intermediate,"Night, Afternoon, Morning",Emotional
User_0261,2.5,0.32,-0.27,I feel really overwhelmed lately and don't know how to cope.,Physics,"Time Management, Problem Solving",Expert,"Afternoon, Evening, Weekends",Emotional
User_0262,5.7,0.39,-0.19,I'm falling behind on deadlines and need academic guidance.,Business,"Machine Learning, Leadership, Writing, Teamwork, Time Management",Advanced,"Evening, Flexible, Afternoon",Academic
User_0263,1.8,0.24,-0.29,I feel really overwhelmed lately and don't know how to cope.,Psychology,"Teamwork, Research, Project Management",Intermediate,Flexible,Emotional
User_0264,8.9,0.88,0.06,Pretty good day. Focused and productive.,Psychology,"Machine Learning, Programming, Python",Advanced,Evening,None
User_0265,5.3,0.48,0.02,"I feel neutral — not bad, just stuck and unmotivated.",Physics,"Research, Leadership, Communication, Project Management",Beginner,"Weekends, Night, Morning",Motivational
User_0266,4.7,0.5,0.03,I need someone to inspire me and keep me on track.,Biology,"Leadership, Statistics",Advanced,"Evening, Flexible",Motivational
User_0267,5.5,0.5,-0.2,I'm falling behind on deadlines and need academic guidance.,Psychology,"Time Management, Python, Programming",Beginner,"Night, Evening, Afternoon",Academic
User_0268,9.6,0.87,0.1,Feeling alright. Working through my tasks steadily.,Literature,"Machine Learning, Presentation",Expert,"Afternoon, Evening, Flexible",None
User_0269,5.5,0.23,-0.21,I can't grasp the mathematical concepts no matter how hard I try.,Biology,"Leadership, Writing",Advanced,"Evening, Weekends, Afternoon",Academic
User_0270,9.5,0.83,0.19,Had a normal day. Nothing special to report.,Business,"Communication, Machine Learning, Time Management, Leadership",Beginner,Night,None
User_0271,6.2,0.94,0.03,Today was balanced. Making good progress overall.,Engineering,"Teamwork, Project Management",Expert,"Weekends, Evening",None
User_0272,5.6,0.25,-0.1,I keep procrastinating and need someone to hold me accountable.,Literature,"Writing, Problem Solving, Presentation, Time Management, Statistics",Advanced,"Evening, Afternoon",Motivational
User_0273,4.8,0.32,-0.25,My grades have been dropping and I feel academically behind.,Physics,"Writing, Machine Learning",Expert,"Flexible, Night",Academic
User_0274,5.6,0.34,-0.01,"I feel neutral — not bad, just stuck and unmotivated.",Computer Science,"Programming, Teamwork, Critical Thinking, Research",Beginner,Flexible,Motivational
User_0275,4.7,0.35,-0.0,"I feel neutral — not bad, just stuck and unmotivated.",Psychology,"Data Analysis, Critical Thinking",Beginner,"Evening, Afternoon, Morning",Motivational
User_0276,6.9,0.89,0.03,Things are going okay. Just checking in today.,Psychology,"Time Management, Leadership, Problem Solving, Research",Beginner,Night,None
User_0277,5.3,0.17,-0.23,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Presentation, Project Management, Programming, Python",Beginner,"Flexible, Evening",Academic
User_0278,3.1,0.32,-0.22,Everything seems too much. I feel isolated and exhausted.,Mathematics,"Leadership, Data Analysis, Statistics, Critical Thinking, Communication",Intermediate,"Flexible, Afternoon",Emotional
User_0279,4.3,0.29,-0.11,I want to improve but can't find the motivation to push forward.,Education,"Data Analysis, Teamwork, Statistics",Advanced,"Flexible, Weekends, Morning",Motivational
User_0280,6.3,0.49,-0.05,I want to improve but can't find the motivation to push forward.,Data Science,"Problem Solving, Presentation, Data Analysis",Expert,"Afternoon, Morning",Motivational
User_0281,3.3,0.13,-0.12,I'm really stressed and feeling disconnected from everyone.,Computer Science,"Time Management, Statistics",Beginner,"Flexible, Night, Afternoon",Emotional
User_0282,4.6,0.39,-0.16,I failed my last assignment and don't know where to improve.,Physics,"Communication, Leadership, Python, Statistics",Advanced,Morning,Academic
User_0283,3.7,0.43,-0.23,Everything seems too much. I feel isolated and exhausted.,Computer Science,"Teamwork, Writing",Advanced,"Flexible, Afternoon, Evening",Emotional
User_0284,6.0,0.48,0.01,I lack the energy to begin my tasks even though I understand them.,Business,"Statistics, Data Analysis, Teamwork",Expert,"Evening, Night",Motivational
User_0285,5.3,0.42,-0.13,I need help organizing my study plan and understanding the material.,Computer Science,"Statistics, Data Analysis, Machine Learning",Intermediate,"Weekends, Night",Academic
User_0286,8.6,0.6,0.17,Today was balanced. Making good progress overall.,Physics,"Time Management, Data Analysis",Advanced,"Morning, Flexible",None
User_0287,4.4,0.54,0.03,I know what I need to do but I just can't get myself started.,Data Science,"Data Analysis, Project Management",Expert,"Afternoon, Night, Evening",Motivational
User_0288,1.2,0.18,-0.14,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Teamwork, Leadership, Writing, Statistics, Time Management",Advanced,"Afternoon, Evening",Emotional
User_0289,6.4,0.41,-0.25,I'm falling behind on deadlines and need academic guidance.,Mathematics,"Leadership, Programming, Machine Learning, Time Management, Statistics",Beginner,"Night, Evening",Academic
User_0290,9.8,0.75,0.01,Today was balanced. Making good progress overall.,Computer Science,"Teamwork, Statistics",Expert,"Weekends, Evening, Afternoon",None
User_0291,6.0,0.74,0.13,Everything is fine. Learning and growing steadily.,Business,"Presentation, Project Management, Problem Solving, Time Management, Leadership",Intermediate,Morning,None
User_0292,4.6,0.32,-0.13,I need a push to stay consistent with my goals.,Mathematics,"Time Management, Writing",Beginner,"Afternoon, Night",Motivational
User_0293,5.8,0.31,-0.12,I need help organizing my study plan and understanding the material.,Physics,"Presentation, Problem Solving, Statistics",Beginner,"Morning, Weekends",Academic
User_0294,8.9,0.65,0.08,Doing well. Staying on track with my goals.,Computer Science,"Critical Thinking, Data Analysis",Intermediate,"Night, Weekends, Afternoon",None
User_0295,7.7,0.88,0.15,Everything is fine. Learning and growing steadily.,Literature,"Communication, Data Analysis, Problem Solving",Intermediate,"Night, Afternoon",None
User_0296,5.3,0.49,-0.09,I lack the energy to begin my tasks even though I understand them.,Data Science,"Research, Time Management, Machine Learning",Intermediate,"Evening, Flexible, Afternoon",Motivational
User_0297,6.0,0.43,-0.14,I keep procrastinating and need someone to hold me accountable.,Data Science,"Machine Learning, Time Management, Project Management, Presentation, Data Analysis",Expert,"Flexible, Weekends, Evening",Motivational
User_0298,1.4,0.12,-0.1,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Communication, Programming, Teamwork",Advanced,Evening,Emotional
User_0299,1.7,0.37,-0.1,I'm really stressed and feeling disconnected from everyone.,Business,"Statistics, Machine Learning, Project Management, Presentation, Critical Thinking",Expert,Flexible,Emotional
User_0300,1.6,0.4,-0.08,I'm feeling burnt out and emotionally drained.,Literature,"Data Analysis, Programming, Project Management, Problem Solving, Critical Thinking",Advanced,Morning,Emotional
User_0301,4.1,0.21,-0.15,I'm falling behind on deadlines and need academic guidance.,Business,"Programming, Presentation, Research",Beginner,"Night, Afternoon",Academic
User_0302,3.1,0.15,-0.26,I don't feel motivated at all and keep withdrawing from activities.,Literature,"Critical Thinking, Communication, Writing, Programming",Expert,"Evening, Morning, Flexible",Emotional
User_0303,3.9,0.28,-0.1,I've been struggling with anxiety and can't focus on anything.,Education,"Leadership, Programming, Machine Learning, Critical Thinking",Intermediate,"Morning, Evening",Emotional
User_0304,6.9,0.9,0.11,Things are going okay. Just checking in today.,Data Science,"Statistics, Problem Solving, Research, Programming, Project Management",Advanced,"Evening, Flexible",None
User_0305,2.1,0.38,-0.27,I'm really stressed and feeling disconnected from everyone.,Business,"Research, Project Management, Machine Learning, Programming, Time Management",Advanced,Flexible,Emotional
User_0306,4.8,0.28,-0.13,I know what I need to do but I just can't get myself started.,Computer Science,"Critical Thinking, Programming, Time Management, Leadership",Intermediate,"Morning, Evening",Motivational
User_0307,2.9,0.43,-0.11,I've been struggling with anxiety and can't focus on anything.,Engineering,"Teamwork, Project Management, Data Analysis",Expert,Afternoon,Emotional
User_0308,2.7,0.18,-0.24,Today was hard. I felt very lonely and couldn't concentrate.,Physics,"Python, Statistics, Teamwork, Time Management",Beginner,Evening,Emotional
User_0309,8.8,0.63,0.19,Had a normal day. Nothing special to report.,Literature,"Problem Solving, Python, Data Analysis, Project Management, Statistics",Beginner,"Morning, Weekends, Flexible",None
User_0310,5.2,0.44,-0.12,I need a push to stay consistent with my goals.,Biology,"Communication, Programming",Beginner,"Night, Flexible",Motivational
User_0311,4.3,0.25,-0.03,I lack the energy to begin my tasks even though I understand them.,Psychology,"Project Management, Programming, Presentation, Time Management",Intermediate,"Morning, Weekends",Motivational
User_0312,4.6,0.54,-0.11,I keep procrastinating and need someone to hold me accountable.,Engineering,"Research, Data Analysis, Project Management, Critical Thinking",Intermediate,Afternoon,Motivational
User_0313,1.6,0.3,-0.06,I don't feel motivated at all and keep withdrawing from activities.,Data Science,"Project Management, Critical Thinking, Statistics, Communication, Time Management",Beginner,Evening,Emotional
User_0314,5.0,0.26,-0.12,I need help organizing my study plan and understanding the material.,Engineering,"Communication, Machine Learning",Advanced,Afternoon,Academic
User_0315,4.3,0.51,0.03,I have the knowledge but struggle with execution and drive.,Business,"Writing, Python, Problem Solving, Research, Presentation",Advanced,"Flexible, Night, Evening",Motivational
User_0316,9.6,0.68,0.15,Had a normal day. Nothing special to report.,Business,"Leadership, Critical Thinking, Statistics, Writing",Intermediate,"Weekends, Morning, Evening",None
User_0317,2.7,0.29,-0.05,I'm feeling burnt out and emotionally drained.,Computer Science,"Teamwork, Machine Learning",Beginner,"Night, Weekends, Afternoon",Emotional
User_0318,4.7,0.33,-0.12,I need help organizing my study plan and understanding the material.,Business,"Research, Programming, Machine Learning, Presentation, Communication",Beginner,Night,Academic
User_0319,4.2,0.32,-0.24,I need a study partner who can explain things differently.,Physics,"Writing, Machine Learning, Teamwork",Beginner,"Afternoon, Night, Evening",Academic
User_0320,3.6,0.38,-0.23,I can't grasp the mathematical concepts no matter how hard I try.,Computer Science,"Critical Thinking, Programming, Problem Solving",Beginner,"Night, Flexible",Academic
User_0321,4.9,0.57,-0.05,"I feel neutral — not bad, just stuck and unmotivated.",Education,"Data Analysis, Project Management, Time Management",Advanced,"Weekends, Morning",Motivational
User_0322,5.3,0.35,-0.12,I keep procrastinating and need someone to hold me accountable.,Physics,"Time Management, Machine Learning, Python, Critical Thinking, Writing",Beginner,"Afternoon, Flexible",Motivational
User_0323,5.7,0.42,-0.03,I need a push to stay consistent with my goals.,Education,"Project Management, Research",Expert,"Evening, Morning",Motivational
User_0324,1.2,0.19,-0.25,Today was hard. I felt very lonely and couldn't concentrate.,Engineering,"Writing, Machine Learning",Intermediate,"Afternoon, Flexible, Morning",Emotional
User_0325,3.5,0.31,-0.1,I've been struggling with anxiety and can't focus on anything.,Biology,"Research, Leadership",Intermediate,"Night, Flexible, Afternoon",Emotional
User_0326,5.0,0.29,-0.11,I need a push to stay consistent with my goals.,Psychology,"Time Management, Leadership, Machine Learning, Programming",Expert,Afternoon,Motivational
User_0327,4.9,0.2,-0.13,I'm struggling to understand the core concepts in my coursework.,Education,"Writing, Leadership",Beginner,"Weekends, Morning, Flexible",Academic
User_0328,7.4,0.92,0.18,Had a normal day. Nothing special to report.,Data Science,"Problem Solving, Teamwork, Python, Presentation, Critical Thinking",Expert,"Afternoon, Night",None
User_0329,7.0,0.6,0.15,Things are going okay. Just checking in today.,Psychology,"Leadership, Programming, Research, Statistics",Expert,"Weekends, Flexible",None
User_0330,2.2,0.14,-0.19,I'm really stressed and feeling disconnected from everyone.,Data Science,"Data Analysis, Project Management",Advanced,Flexible,Emotional
User_0331,4.4,0.45,-0.05,I need someone to inspire me and keep me on track.,Data Science,"Machine Learning, Problem Solving, Time Management, Communication, Project Management",Expert,"Afternoon, Night",Motivational
User_0332,5.1,0.49,-0.12,I want to improve but can't find the motivation to push forward.,Literature,"Teamwork, Time Management, Project Management",Intermediate,Flexible,Motivational
